Question,Answer
define heaps permutation generation algorithm,interchange elements to generate next permutation
what do you mean by aging in operating system,aging is a technique used to avoid the starvation in resource scheduling system
what do you mean by division algorithms,for computing quotient andor remainder of two numbers
how do you explain mutant,in windows nt a mutant provides kernel mode or user mode mutual exclusion with the notion of ownership
what is linear time,linear time if the time is proportional to the input size eg the traverse of a list
define bkm algorithm,for computing a numbers multiplicative inverse reciprocal
what do you mean by the purpose of realtime operating system,here a specified time is allotted for each job and it is usually a critical application pertaining to military operations satellites
how do you explain a queue,a queue is an ordered collection of items from which items may be deleted at one end front end and items inserted at the other end rear endit obeys fifo rule there is no limit to the number of elements a queue contains
define longest common substring problem,find the longest string or strings that is a substring or are substrings of two or more strings
define a simple path,a path in a diagram inwhich the edges are distinct is called a simple path it is also called as edge simple
what is worst case and average case of bubble sort algorithm,worst case on2 and average case on2
what do you mean by a device queue,a list of processes waiting for a particular io device is called device queue
what is spooling,spooling is normally associated with printing when different applications want to send an output to the printer at the same time spooling takes all of these print jobs into a disk file and queues them accordingly to the printer
what would happen if bubble sort didnt keep track of the number of swaps made on each pass through the list,the algorithm wouldnt know when to terminate as it would have no way of knowing when the list was in sorted order
how do you explain system stack,each process has one or more lifo stacks associated with it used to store parameters and calling addresses for procedure and system callsprocess control block pcb info needed by the os to control processes
what is a library,it is a file which contains object code for subroutines and data to be used by the other program
what is comb sort,the basic idea is to eliminate turtles or small values near the end of the list
what do you mean by multitasking,multitasking is the process within an operating system that allows the user to run several applications at the same time however only one application is active at a time for user interaction although some applications can run behind the scene
define rr scheduling algorithm,rr roundrobin scheduling algorithm is primarily aimed for timesharing systems a circular queue is setup in such a way that the cpu scheduler goes around that queue allocating cpu to each process for a time interval of up to around 10 to 100 milliseconds
how do you explain gang scheduling,a set of related threads is scheduled to run on a set of processors at the same time on a 1to1 basis closely related threads processes may be scheduled this way to reduce synchronization blocking and minimize process switching group scheduling predated this strategy
state the different types of linked lists,the different types of linked list include singly linked list doubly linked list and circular linked list
define dangling pointer and how to avoid it,after a call to freep makes a subsequent reference to p illegal ie though the storage to p is freed but the value of paddress remain unchanged so the object at that address may be used as the value of p ie there is no way to detect the illegalityhere p is called dangling pointerto avoid this it is better to set p to null after executing freepthe null pointer value doesnt reference a storage location it is a pointer that doesnt point to anything
what do you mean by dices coefficient,a similarity measure related to the jaccard index
what are necessary conditions for dead lock,mutual exclusion where at least one resource is nonsharable hold and wait where a process holds one resource and waits for other resourceno preemption where the resources cant be preempted circular wait where pi is waiting for pj to release a resource
define a tree,a tree is a collection of nodes the collection can be empty otherwise a tree consists of a distinguished node r called the root and zero or more nonempty sub trees t1 t2 tk each of whose roots are connected by a directed edge from r
what do you mean by selection algorithm,a selection algorithm is an algorithm for finding the kth smallest number in a list or array such a number is called the kth order statistic
define match rating approach,match rating approach mra is a phonetic algorithm developed by western airlines in 1977 for the indexation and comparison of homophonous names
what is timsort,adaptative algorithm derived from merge sort and insertion sort used in python 23 and up and java se 7
define extended euclidean algorithm,also solves the equation ax by c
give types to identify the complexity,constant time linear time logarithmic time polynomial time exponential time
how is recursive algorithm related to data structures,repetitive constructs like loops and sometimes additional data structures like stacks to solve the given problems
what is logical and physical addresses space,logical address space is generated from cpu it bound to a separate physical address space is central to proper memory management physical address space is seen by the memory unit logical address space is virtual address space both these address space will be same at compile time but differ at execution time
how do you explain bowyerwatson algorithm,create voronoi diagram in any number of dimensions
what is d,an incremental heuristic search algorithm
how do you explain an operating system,an operating system is a program that acts as an intermediary between the user and the computer hardware the purpose of an os is to provide a convenient environment in which user can execute programs in a convenient and efficient manner
how do you explain starvation in operating system,starvation is resource management problem in this problem a waiting process does not get the resources it needs for a long time because the resources are being allocated to other processes
what do you mean by burst sort,build a compact cache efficient burst trie and then traverse it to create sorted output
what do you mean by transitive closure,find the transitive closure of a given binary relation
what do you mean by a trap and trapdoor,trapdoor is a secret undocumented entry point into a program used to grant access without normal methods of access authentication a trap is a software interrupt usually the result of an error condition
what do you mean by process migration,it is the transfer of sufficient amount of the state of process from one machine to the target machine
how do you explain oddeven sort,a relatively simple sorting algorithm developed originally for use on parallel processors with local interconnections
what is coloring algorithm,graph colouring algorithm
what do you mean by the data structures used to perform recursion,stack because of its lifo last in first out property it remembers its caller so knows whom to return when the function has to return recursion makes use of system stack for storing the return addresses of the function calls
define babystep gain step,the babystep giantstep is a meetinthemiddle algorithm for computing the discrete logarithm
when does the condition rendezvous arise,in message passing it is the condition in which both the sender and receiver are blocked until the message is delivered
define the data structures used to perform recursion,stack because of its lifo last in first out property it remembers its caller so knows whom to return when the function has to return recursion makes use of system stack for storing the return addresses of the function calls every recursive function has its equivalent iterative nonrecursive function even when such equivalent iterative procedures are written explicit stack is to be used
how do you explain the difference between logical address space and physical address space,logical address space specifies the address that is generated by cpu on the other hand physical address space specifies the address that is seen by the memory unit
define leaf node,leaf nodeanode with no children is called leaf node they are also referred as terminal nodes in the given figure2511 and 4 are leaf nodes
define process control block pcb,info needed by the os to control processes
state the rules to be followed during infix to prefix conversions,fully parenthesize the expression starting from left to right during parenthesizing the operators having higher precedence are first parenthesizedmove the operators one by one to their left such that each operator replaces their corresponding left parenthesisthe part of the expression which has been converted into prefix is to be treated as single operandonce the expression is converted into prefix form remove all parenthesis
what do you mean by best case performance of bubble sort algorithm,the best case performance of bubble sort algorithm is on
what is kosrajus problem,kosarajus algorithm also known as the kosarajusharir algorithm is a linear time algorithm to find the strongly connected components of a directed graph
what do you mean by the purpose of an io status information,io status information provides information about which io devices are to be allocated for a particular process it also shows which files are opened and other io device state
what are the steps in algorithm design,problem definitiondevelopment of a modelspecification of the algorithmdesigning an algorithmchecking the correctness of the algorithmanalysis of algorithmimplementation of algorithmprogram testingdocumentation preparation
how do you explain linear programming,when searching for optimal solutions to a linear function bound to linear equality and inequality constraints the constraints of the problem can be used directly in producing the optimal solutions
which process places data at the back of the queue,enqueue is the process that places data at the back of the queue
how do you explain the complexity of the bubble sort algorithm,the complexity is on2 the time required to execute the bubble sort algorithm is proportional to n2 where n is the number of input items
how do you explain non comparison sort,the sorting in which there is no comparison with adjacent elements
what is kasanes algorithm,finds maximum subarray of any size
define selection sorts,convert the list into a heap keep removing the largest element from the heap and adding it to the end of the list
what are the different types of scheduling algorithms,the scheduling algorithms decide which processes in the ready queue are to be allocated to the cpu for execution scheduling algorithms can be broadly classified on the basis of preemptive algorithmsround robin schedulingshortest job first scheduling can be bothpriority scheduling can be bothnonpreemptive
what are the key object oriented concepts used by windows nt,encapsulation object class and instance
what do you mean by meant by armstickiness,if one or a few processes have a high access rate to data on one track of a storage disk then they may monopolize the device by repeated requests to that track this generally happens with most common device scheduling algorithms lifo sstf cscan etc highdensity multisurface disks are more likely to be affected by this than low density ones
how do you explain suffix trees,a suffix tree also called pat tree or in an earlier form position tree is a compressed trie containing all the suffixes of the given text as their keys and positions in the text as their values suffix trees allow particularly fast implementations of many important string operationsan opensource nonrecursive algorithm
define tarjans offline lowest common ancestors algorithm,compute lowest common ancestors for pairs of nodes in a tree
how do you explain lavenshtein edit distance,compute a metric for the amount of difference between two sequences
what do you mean by ukkonens algorithms,a lineartime online algorithm for constructing suffix trees
what is semaphore,semaphore is a variable whose status reports common resource semaphore is of two types one is binary semaphore and other is counting semaphore
how do you link algorithms and logics,an algorithm may be viewed as controlled logical deduction
define matching triangles,reconstruct twodimensional surface geometry from an unstructured point cloud
how do you explain smooth sort,like heapsort smoothsort is an inplace algorithm with an upper bound of on log n2 but it is not a stable
what is dead lock,deadlock is a situation or condition where the two processes are waiting for each other to complete so that they can start this result both the processes to hang
what is truncation method,this method is used to compute the address of a record in this method a part of the numeric key is considered as an offset address of the corresponding record
what do you mean by dram,dynamic ram stores the data in the form of capacitance and static ram stores the data in voltages
define bestfirst search,bestfirst search is a search algorithm which explores a graph by expanding the most promising node chosen according to a specified rule
explain the positioning time for a disk,it is also called as the random access time used by a disk to perform operationsit consists of time to move the disk arm to the desired cylinder called the seek time the time required for the desired sector to rotate to the disk head is called rotational latencytypical disks can transfer megabytes of data per secondseek time and rotational latency is always in milliseconds
what do you mean by the difference between logical address space and physical address space,logical address space specifies the address that is generated by cpu on the other hand physical address space specifies the address that is seen by the memory unit
what is point in polygon algorithms,find the nearest point or points to a query point
what do you mean by a address register,address registers contain main memory addresses of data and instructions or they contain a portion of the address that is used in the calculation of the complete addresses
how do you explain a directed graph,a graph in which every edge is directed is called a directed graph
what do you mean by hash table,the hash table data structure is merely an array of some fixed size containing the keys a key is a string with an associated value each key is mapped into some number in the range 0 to tablesize1 and placed in the appropriate cell
what do you mean by sss,state space search traversing a game tree in a bestfirst fashion similar to that of the a search algorithm
what do you mean by priority queue,priority queue is an abstract data type which is like a regular queue or stack data structure but where additionally each element has a priority associated with it
define an algorithm,an algorithm is an unambiguous specification of how to solve a class of problems
define a internal node,nternal node an intermediate node between the root and the leaf nodes is called an internal node it is also referred to as a non terminal node in preceding figure nodes 736 and 9 are internal nodes
list the applications of stacks,towers of hanoi reversing a stringbalanced parenthesisrecursion using stack evaluation of arithmetic expressions
what is worst case space complexity of bubble sort algorithm,o1 auxiliary
how do you explain the zombie process,a zombie process is a process which has completed and in the terminated state but has its entry in the process table it shows that the resources are held by the process and are not free
how do you explain knuthbendix completion algorithm,for rewriting rule system
what do you mean by iterative deepening depthfirst search,a state space search strategy
what is monolithic kernel,it can be considered as a whole kernel that is a fullfledged kernel which provides all the services are runningexample unix
define brents algorithm,finds a cycle in function value iterations using only two iterators
what do you mean by oddeven sort,a relatively simple sorting algorithm developed originally for use on parallel processors with local interconnections
how do you explain convex hull,the convex hull or convex envelope or convex closure of a set x of points in the euclidean plane or in a euclidean space or more generally in an affine space over the reals is the smallest convex set that contains x
draw the structure of a linked list,first part represent data and second part represent address of next node
why dynamic programming is not for complex problems,when subproblems are independent and there is no repetition memoization does not help hence dynamic programming is not a solution for all complex problems
what do you mean by demand paging,demand paging is referred when not all of a processs pages are in the ram then the os brings the missingand required pages from the disk into the ram
how do you define hashing,hashing is the method of finding and retrieving information associated with a unique identifying key
the copying garbage collector can be implemented using semispaces by splitting the heap into two halves each half is a contiguous memory region all the allocations are made from a single half of the heap only when the specified heap is half full the collector is immediately invoked and it copies the live objects into the other half of the heap in this way the first half of the heap then only contains garbage and eventually is overwritten in the next pass,how does reference counting manage memory allocated objects when can it fail to reclaim objects
what is cascading termination,if one process is terminated its related processes are also terminated abnormally then it is called cascade terminationit occurs in the case of parent child processif the parent process is terminated normally or abnormally then all its child processes must be terminatedthe parent is existing and the operating system does not allow a child to continue if its parent terminatesthis child process is the new process created by the process called the parent process
how do you explain booths multiplication algorithm,booths multiplication algorithm is a multiplication algorithm that multiplies two signed binary numbers in twos complement notation
no we cannot apply binary search algorithm to a sorted linked listsince there is no way of indexing the middle element in the list this is the drawback in using linked list as a data structure,what do you mean by free pool
how does swapping result in better memory management,during regular intervals that are set by the operating system processes can be copied from main memory to a backing store and then copied back later swapping allows more operations to be run that can fit into memory at one time
what are the activities related to the time shared user program management,an operating system is responsible for the creation and deletion of both user and system processesit also provides mechanism for the process synchronizationsuspending and resuming of windows is done by the operating system itselfprogram needs resources like cpu time memory files input output devices to complete the task which is provided by the operating system mechanisms are also provided for deadlock handling
what is a data register,data registers can be assigned to a variety of functions by the programmer they can be used with any machine instruction that performs operations on data
how do you explain a thread,a thread is a basic unit of cpu utilization in general a thread is composed of a thread id program counter register set and the stack
what is chews second algorithm,create quality constrained delaunay triangulations
what do you mean by fordfulkerson algorithm,computes the maximum flow in a graph
what do you mean by lagrange interpolation,interpolation using lagrange polynomials
what is zhu takaoka string matching algorithms,searches multiple patterns efficiently
how do you explain gilbertjohnsonkeerthi distance algorithm,determining the smallest distance between two convex shapes
what main properties are considered in bubble sort,stable o1 extra space on2 comparisons and swaps adaptive on when nearly sorted
how do you explain a address register,address registers contain main memory addresses of data and instructions or they contain a portion of the address that is used in the calculation of the complete addresses
what is meant by binary tree traversal,traversing a binary tree means moving through all the nodes in the binary tree visiting each node in the tree only once
in linked list each element in list contains a field called a link or pointer which contains the address of the next elementsuccessive elements need not occupy adjacent space in memory,we apply binary search algorithm to a sorted linked listwhy
define index calculus algorithm,the index calculus algorithm is a probabilistic algorithm for computing discrete logarithms
what is toddcoxeter algorithm,procedure for generating cosets
what is raid,this is the basic os interview questions which is asked in an interview raid stands for redundant array of independent disks to improve overall performance the data is stored redundantly and used whenever required
what is a loop,an edge of a graph which connects to itself is called a loop or sling
what do you mean by context switching,it is the process of switching the cpu from one process to anotherthis requires to save the state of the old process and loading the saved state for the new processthe context of the process is represented in the process control blockduring switching the system does no useful workhow the address space is preserved and what amount of work is needed depends on the memory management
what do you mean by a internal node,nternal node an intermediate node between the root and the leaf nodes is called an internal node it is also referred to as a non terminal node in preceding figure nodes 736 and 9 are internal nodes
what do you mean by the need of device status table,this table gives the device type its address and statusit is required to keep a track of many input output requests at the same timethe state of the device can be functioning idle or busyif a device is busy type of request and other parameters are stored in the table entry if more than one processor issues request for the same device then a wait queue is maintained
how do you explain plumbing piping,it is the process of using the output of one program as an input to another for example instead of sending the listing of a folder or drive to the main screen it can be piped and sent to a file or sent to the printer to produce a hard copy
what do you mean by edmondsedmondskara algorithm,implementation of fordfulkerson
define jump search,linear search on a smaller subset of the sequence
what do you mean by postman sort,variant of bucket sort which takes advantage of hierarchical structure
what do you mean by heaps permutation generation algorithm,interchange elements to generate next permutation
what do you mean by cocktail shaker sort,a bubble sort traversing the list alternately from front to back and back to front
how does dynamic programming work,dynamic programming avoids recomputing solutions that have already been computed
define impact of signed numbers on the memory,sign of the number is the first bit of the storage allocated for that number so you get one bit less for storing the number for example if you are storing an 8bit number without sign the range is 0255 if you decide to store sign you get 7 bits for the number plus one bit for the sign so the range is 128 to 127
how do you explain euclidean distance transform,computes the distance between every point in a grid and a discrete collection of points
how do you explain an algorithm,an algorithm is an unambiguous specification of how to solve a class of problems
define monolithic kernel,a monolithic kernel is a kernel which includes all operating system code is in single executable image
how do you explain rounding functions,the principal nth root of a positive real number a is the positive real solution of the equation
define birkhoff interpolation,an extension of polynomial interpolation
what do you mean by strongly connected components,in the mathematical theory of directed graphs a graph is said to be strongly connected or diconnected if every vertex is reachable from every other vertex
how do you explain the difference between null and void pointer,null can be value for pointer type variablesvoid is a type identifier which has not sizenull and void are not same example void ptr null
does the minimal spanning tree of a graph give the shortest distance between any 2 specified nodes,no minimal spanning tree assures that the total weight of the tree is kept at its minimum but it doesnt mean that the distance between any two nodes involved in the minimalspanning tree is minimum
how do you explain user program,the instructions to be executed
define synchronization what are the different synchronization mechanisms,synchronization means controlling access to a resource that is available to two or more threads or process different synchronization mechanisms are mutexsemaphoresmonitorscondition variables critical regions and read write locks
define process migration,it is the transfer of sufficient amount of the state of process from one machine to the target machine
define the worst case space complexity of selection sort,the worst case space complexity of selection sort is on total o1 auxiliary
how do you explain a weighted graph,a graph in which weights are assigned to every edge is called a weighted graph
how do you explain online algorithm,an online algorithm is one that can process its input piecebypiece in a serial fashion ie in the order that the input is fed to the algorithm without having the entire input available from the beginning
define the difference between null and void pointer,null can be value for pointer type variablesvoid is a type identifier which has not sizenull and void are not same example void ptr null
what is linear search,finds an item in an unsorted sequence
what are the functions of operating system,the operating system controls and coordinates the use of hardware among the different processes and applications it provides the various functionalities to the users the following are the main job of operating systemresource utilizationresource allocationprocess management memory managementfile managementio managementdevice management
how do you explain busy waiting,the repeated execution of a loop of code while waiting for an event to occur is called busywaiting the cpu is not engaged in any real productive activity during this period and the process does not progress toward completion
how do you explain polynomial long division,an algorithm for dividing a polynomial by another polynomial of the same or lower degree
calculate the efficiency of sequential search,number of comparisons in any case is o n
how do you explain newtonraphson division,an algorithm used for the fast computation of large integer powers of a number
when does the condition rendezvous arise,in message passing it is the condition in which both the sender and receiver are blocked until the message is delivered
define introselect,introselect short for introspective selection is a selection algorithm that is a hybrid of quickselect and median of medians which has fast average performance and optimal worstcase
what is a linked list,a linked list is a linear collection of data elements called nodes where the linear order is given by pointers each node has two parts first part contain the information of the element second part contains the address of the next node in the list
how do you explain kirkpatrickseidel algorithm,is an algorithm for computing the convex hull of a set of points in the plane
what are the major data structures used in the following areas rdbms network data model hierarchical data model,rdbms array ie array of structures network data model graphhierarchical data model trees
define a priority queue,priority queue is a collection of elements each containing a key referred as the priority for that element elements can be inserted in any order ie of alternating priority but are arranged in order of their priority value in the queue the elements are deleted from the queue in the order of their priority ie the elements with the highest priority is deleted first the elements with the same priority are given equal importance and processed accordingly
define fibonacci search technique,search a sorted sequence using a divide and conquer algorithm that narrows down possible locations with the aid of fibonacci numbers
write algorithm for inserting node at the beginning of singlylinked list if list is not empty,to insert a node at the beginning of the linked list algorithm is allocate memory for the new nodeassign value to the data field of the new node
what is quick sort algorithm,quicksort sometimes called partitionexchange sort is an on log n efficient sorting algorithm serving as a systematic method for placing the elements of an array in order
how does the representation of a node in a doublylinked list differ from that in a singlylinked list,unlike singlylinked list in which each node stores the address of only the next node in the list each node in a doublylinked list holds the address of its previous node also
what is lexicographic breadth search,a linear time algorithm for ordering the vertices of a graph
define memorymanagement unit mmu,hardware device that maps virtual to physical address in mmu scheme the value in the relocation register is added to every address generated by a user process at the time it is sent to memorythe user program deals with logical addresses it never sees the real physical addresses
what is fragmentation,fragmentation is memory wasted it can be internal if we are dealing with systems that have fixedsized allocation units or external if we are dealing with systems that have variablesized allocation units
what do you mean by open addressing,open addressing is a collision resolving strategy in which if collision occurs alternative cells are tried until an empty cell is found the cells h0x h1x h2x are tried in succession where hixhashxfimod tablesize with f00 the function f is the collision resolution strategy
explain how will to you make euclids logic successful,for euclids method to succeed the starting lengths must satisfy two requirements i the lengths must not be zero and ii the subtraction must be proper ie a test must guarantee that the smaller of the two numbers is subtracted from the larger alternately the two can be equal so their subtraction yields zero
what do you mean by cycle sort,inplace with theoretically optimal number of writes
what do you mean by the advantage of a multiprocessor system,as many as processors are increased you will get the considerable increment in throughput it is cost effective also because they can share resources so the overall reliability increases
define the best case performance of selection sort,the best case performance of selection sort is on2
define chans algorithm,is an optimal outputsensitive algorithm to compute the convex hull of a set points in 2 or 3dimensional space
define decrease and conquer algorithms,a simpler variant of divide and conquer is called a decrease and conquer algorithm that solves an identical subproblem and uses the solution of this subproblem to solve the bigger problem
define laplacian smoothing,an algorithm to smooth a polygonal mesh
what do you mean by maxcliquedyn maximum clique algorithm,the maxcliquedyn algorithm is an algorithm for finding a maximum clique in an undirected graph
how do you explain virtual memory,virtual memory is a very useful memory management technique which enables processes to execute outside of memory this technique is especially used when an executing program cannot fit in the physical memory
what does adt consists of two parts,values definitionoperation definitionexamplethe value definition for the adt rational states that rational value consists of two integers second doesnt equal to zero the operator definition for adt rational includes the operation of creation make rational addition multiplication and test for equality
what do you mean by the average case performance of selection sort,the average case performance of selection sort is on2
what is the best case efficiency of binary search,the best case efficiency of binary search is o1
what do you mean by a binary semaphore,binary semaphore takes only 0 and 1 as value and used to implement mutual exclusion and synchronize concurrent processes
define tree search,tree traversal also known as tree search is a form of graph traversal and refers to the process of visiting checking andor updating each node in a tree data structure exactly once
what do you mean by fcfs,fcfs stands for first come first served it is a type of scheduling algorithm in this scheme if a process requests the cpu first it is allocated to the cpu first its implementation is managed by a fifo queue
how do you explain dualmode operation,in order to protect the operating systems and the system programs from the malfunctioning programs the two mode operations were evolvedsystem mode and user mode
what do you mean by a folder in ubuntu,there is no concept of folder in ubuntu everything including your hardware is a file
how do you explain deadlock explain,deadlock is a specific situation or condition where two processes are waiting for each other to complete so that they can start but this situation causes hang for both of them
what is longest common subsequence problem,find the longest subsequence common to all sequences in a set of sequences
what is simplex algorithm,the simplex algorithm operates on linear programs in the canonical form
what do you mean by the best page size when designing an operating system,the best paging size varies from system to system so there is no single best when it comes to page size there are different factors to consider in order to come up with a suitable page size such as page table paging time and its effect on the overall efficiency of the operating system
what do you mean by rr scheduling algorithm,rr roundrobin scheduling algorithm is primarily aimed for timesharing systems a circular queue is a setup in such a way that the cpu scheduler goes around that queue allocating cpu to each process for a time interval of up to around 10 to 100 milliseconds
what is page cannibalizing,page swapping or page replacements are called page cannibalizing
how do you explain minimum bounding box algorithm,find the oriented minimum bounding box enclosing a set of points
what do you mean by preemptive and nonpreemptive scheduling,preemptive scheduling the preemptive scheduling is prioritized the highest priority process should always be the process that is currently utilizednonpreemptive scheduling when a process enters the state of running the state of that process is not deleted from the scheduler until it finishes its service time
what is divide and conquer algorithm,a divide and conquer algorithm repeatedly reduces an instance of a problem to one or more smaller instances of the same problem usually recursively until the instances are small enough to solve easily
how do you explain boyer moore hors pool algorithm,simplification of boyermoore
define alpha max plus beta min algorithm,an approximation of the squareroot of the sum of two squares
why partitioning and formatting is a prerequisite to installing an operating system,partitioning and formatting create a preparatory environment on the drive so that the operating system can be copied and installed properly this includes allocating space on the drive designating a drive name determining and creating the appropriate file system and structure
what do you mean by an acyclic graph,a simple diagram which does not have any cycles is called an acyclic graph
what do you mean by path based strong component algorithm,in graph theory the strongly connected components of a directed graph may be found using an algorithm that uses depthfirst search in combination with two stacks one to keep track of the vertices in the current component and the second to keep track of the current search path
define dedicated processor assignment,provides implicit scheduling defined by assignment of threads to processors for the duration of program execution each program is allocated a set of processors equal in number to the number of threads in the program processors are chosen from the available pool
what are the problems in the bubble sort,the bubble sort have turtles and rabbits problem because big elements rabbits go up fast while small ones turtles go down very slow
do bubble sort and selection sort have quadratic order of growth,yes bubble sort and selection sort have quadratic order of growth
what do you mean by a thread,a thread is a basic unit of cpu utilization it consists of a thread id program counter register set and a stack
what is introselect,introselect short for introspective selection is a selection algorithm that is a hybrid of quickselect and median of medians which has fast average performance and optimal worstcase
what is path based strong component algorithm,in graph theory the strongly connected components of a directed graph may be found using an algorithm that uses depthfirst search in combination with two stacks one to keep track of the vertices in the current component and the second to keep track of the current search path
which are the two principle criteria for selecting a hash function,two principle criteria for selecting a hash function are it should be easy and quick to compute it should achieve a uniform distribution of keys in address space
what do you mean by thrashing,it is a phenomenon in virtual memory schemes when the processor spends most of its time swapping pages rather than executing instructions this is due to an inordinate number of page faults
how does divide and conquer work,divide and conquer divides the problem into multiple subproblems and so the conquer stage is more complex than decrease and conquer algorithms
what is postman sort,variant of bucket sort which takes advantage of hierarchical structure
what do you mean by longest common substring problem,find the longest string or strings that is a substring or are substrings of two or more strings
define a process,a program in execution is called a processprocesses are of two types are operating system processes and user processes
how many comparisons are performed in the second pass of the selection sort algorithm,n2 comparisons are performed in the second pass of the selection sort algorithm
what is nysiis,phonetic algorithm improves on soundex
in rdbms what is the efficient data structure used in the internal storage representation,b tree because in b tree all the data is stored only in leaf nodes that makes searching easier this corresponds to the records that shall be stored in leaf nodes
why it is said that searching a node in a binary search tree is efficient than that of a simple binary tree,in binary search tree the nodes are arranged in such a way that the left node is having less data value than root node value and the right nodes are having larger value than that of root because of this while searching any node the value of the target node will be compared with the parent node and accordingly either left sub branch or right sub branch will be searched so one has to compare only particular branches thus searching becomes efficient
state the difference between primitive and nonprimitive data types,primitive data types are the fundamental data types eg int float double char nonprimitive data types are user defined data types eg structure union and enumerated data types
define cliques,a clique klik or klk is a subset of vertices of an undirected graph such that every two distinct vertices in the clique are adjacent that is its induced subgraph is complete
how do you explain pancake sorting,pancake sorting is the colloquial term for the mathematical problem of sorting a disordered stack of pancakes in order of size when a spatula can be inserted at any point in the stack and used to flip all pancakes above it
how do you explain pollards rho algorithm,it uses only a small amount of space and its expected running time is proportional to the square root of the size of the smallest prime factor of the composite number being factorized
what do you mean by chudnovsky algorithm,a fast method for calculating the digits of p
define nysiis,phonetic algorithm improves on soundex
what is the difference between micro kernel and macro kernel,micro kernel micro kernel is the kernel which runs minimal performance affecting services for operating system in micro kernel operating system all other operations are performed by processormacro kernel macro kernel is a combination of micro and monolithic kernel
what are the stipulations of c2 level security,c2 level security provides for discretionary access controlidentification and authenticationauditingresource reuse
what is scsi,scsi small computer systems interface is a type of interface used for computer components such as hard drives optical drives scanners and tape drives it is a competing technology to standard ide integrated drive electronics
what are different types of linked list,singlylinked list doublylinked list and circular linked list
define the basic function of paging,paging is a memory management scheme that permits the physical address space of a process to be noncontiguous it avoids the considerable problem of having to fit varied sized memory chunks onto the backing store
how do you explain boyer moore string search algorithm,amortized linear sublinear in most times algorithm for substring search
while implementing the bubble sort algorithm how many comparisons will performed in pass 1,n 1 comparisons
what is a drawback of mvt,they are theability to support multiple processorsvirtual storagesource level debugging
how do you explain a folder in ubuntu,there is no concept of folder in ubuntu everything including your hardware is a file
what do you mean by nearest neighbour search,the arbitrarily oriented minimum bounding box is the minimum bounding box calculated subject to no constraints as to the orientation of the result
how is an algorithm is designed,problem definitiondevelopment of a modelspecification of the algorithmdesigning an algorithmchecking the correctness of the algorithmanalysis of algorithmimplementation of algorithmprogram testingdocumentation preparation
explain the different kinds of a kernel,monolithic kernel microkernel hybrid kernel
what do you mean by sequence algorithms,a sequence algorithm is an algorithm 12 that takes one or more linear sequences as inputs
what are the different operating systems,batched operating systemsmultiprogrammed operating systemstimesharing operating systems distributed operating systems realtime operating systems
define bead sort,the bead sort operation can be compared to the manner in which beads slide on parallel poles such as on an abacus
what are local and global page replacements,local replacement means that an incoming page is brought in only to the relevant process address space global replacement policy allows any page frame from any process to be replaced the latter is applicable to variable partitions model only
how do you explain the worst case performance of binary search,the worst case performance of binary search is olog n
what is bkm algorithm,for computing a numbers multiplicative inverse reciprocal
define binary search algorithm,locates an item in a sorted sequence
define backward euler method,in numerical analysis and scientific computing the backward euler method or implicit euler method is one of the most basic numerical methods for the solution of ordinary differential equations
define a long term scheduler short term schedulers,long term schedulers are the job schedulers that select processes from the job queue and load them into memory for execution the short term schedulers are the cpu schedulers that select a process from the ready queue and allocate the cpu to one of them
give an example of turtle problem in bubble sort,though array 2 3 4 5 1 is almost sorted it takes on2 iterations to sort an array element 1 is a turtle
what do you mean by the difference between a stack and an array,stack is a ordered collection of itemsstack is a dynamic object whose size is constantly changing as items are pushed and poppedstack may contain different data typesstack is declared as a structure containing an array to hold the element of the stack and an integer to indicate the current stack top within the array array is an ordered collection of itemsarray is a static object ie no of item is fixed and is assigned by the declaration of the arrayit contains same data typesarray can be home of a stack ie array can be declared large enough for maximum size of the stack
